,Shark_sp,Deadly_act
2279,white shark,diving
2280,undef. shark,swimming
2281,undef. shark,undef. act
2282,undef. shark,undef. act
2283,copper shark,fishing
2284,undef. shark,sailing
2285,undef. shark,fishing
2286,copper shark,undef. act
2287,white shark,surfing
2288,white shark,surfing
2289,undef. shark,undef. act
2290,undef. shark,fishing
2291,undef. shark,diving
2292,tiger shark,sailing
2293,tiger shark,undef. act
2294,mako shark,fishing
2295,blacktip shark,surfing
2296,undef. shark,surfing
2297,white shark,surfing
2298,hammerhead shark,diving
2299,undef. shark,diving
2300,undef. shark,surfing
2301,tiger shark,sailing
2302,white shark,diving
2303,tiger shark,surfing
2304,nurse shark,diving
2305,undef. shark,sailing
2306,white shark,surfing
2307,undef. shark,sailing
2308,white shark,surfing
2309,undef. shark,sailing
2310,undef. shark,swimming
2311,undef. shark,fishing
2312,blacktip shark,diving
2313,white shark,surfing
2314,undef. shark,fishing
2315,white shark,surfing
2316,nurse shark,diving
2317,undef. shark,undef. act
2318,undef. shark,fishing
2319,undef. shark,sailing
2320,undef. shark,surfing
2321,undef. shark,surfing
2322,undef. shark,swimming
2323,bull shark,surfing
2324,undef. shark,swimming
2325,white shark,undef. act
2326,mako shark,diving
2327,undef. shark,diving
2328,tiger shark,surfing
2329,undef. shark,diving
2330,white shark,diving
2331,undef. shark,surfing
2332,tiger shark,surfing
2333,copper shark,surfing
2334,white shark,diving
2335,undef. shark,fishing
2336,white shark,surfing
2337,tiger shark,sailing
2338,undef. shark,diving
2339,undef. shark,surfing
2340,undef. shark,fishing
2341,copper shark,sailing
2342,bull shark,swimming
2343,blacktip shark,fishing
2344,reef shark,fishing
2345,undef. shark,undef. act
2346,undef. shark,undef. act
2347,undef. shark,undef. act
2348,white shark,diving
2349,tiger shark,diving
2350,tiger shark,diving
2351,tiger shark,fishing
2352,undef. shark,fishing
2353,undef. shark,sailing
2354,undef. shark,surfing
2355,white shark,surfing
2356,tiger shark,fishing
2357,white shark,diving
2358,undef. shark,undef. act
2359,undef. shark,swimming
2360,undef. shark,swimming
2361,undef. shark,fishing
2362,white shark,surfing
2363,reef shark,diving
2364,blacktip shark,swimming
2365,undef. shark,swimming
2366,tiger shark,surfing
2367,white shark,surfing
2368,undef. shark,sailing
2369,undef. shark,undef. act
2370,undef. shark,fishing
2371,undef. shark,surfing
2372,undef. shark,swimming
2373,tiger shark,swimming
2374,undef. shark,surfing
2375,white shark,diving
2376,undef. shark,fishing
2377,undef. shark,diving
2378,undef. shark,surfing
2379,undef. shark,surfing
2380,nurse shark,diving
2381,white shark,surfing
2382,white shark,fishing
2383,undef. shark,swimming
2384,undef. shark,surfing
2385,undef. shark,surfing
2386,undef. shark,undef. act
2387,undef. shark,swimming
2388,white shark,diving
2389,undef. shark,surfing
2390,undef. shark,surfing
2391,undef. shark,surfing
2392,undef. shark,swimming
2393,undef. shark,surfing
2394,undef. shark,surfing
2395,tiger shark,surfing
2396,undef. shark,surfing
2397,white shark,fishing
2398,white shark,diving
2399,white shark,surfing
2400,undef. shark,diving
2401,white shark,surfing
2402,undef. shark,surfing
2403,undef. shark,fishing
2404,undef. shark,swimming
2405,undef. shark,surfing
2406,white shark,diving
2407,undef. shark,fishing
2408,undef. shark,fishing
2409,undef. shark,diving
2410,undef. shark,diving
2411,white shark,undef. act
2412,white shark,undef. act
2413,tiger shark,surfing
2414,undef. shark,diving
2415,undef. shark,surfing
2416,undef. shark,surfing
2417,undef. shark,surfing
2418,undef. shark,swimming
2419,bull shark,surfing
2420,undef. shark,diving
2421,undef. shark,sailing
2422,white shark,surfing
2423,undef. shark,surfing
2424,undef. shark,fishing
2425,tiger shark,undef. act
2426,undef. shark,swimming
2427,white shark,surfing
2428,white shark,diving
2429,undef. shark,swimming
2430,undef. shark,swimming
2431,undef. shark,swimming
2432,white shark,surfing
2433,tiger shark,diving
2434,undef. shark,surfing
2435,tiger shark,diving
2436,white shark,surfing
2437,white shark,diving
2438,undef. shark,fishing
2439,white shark,undef. act
2440,white shark,diving
2441,undef. shark,surfing
2442,undef. shark,diving
2443,nurse shark,undef. act
2444,undef. shark,swimming
2445,white shark,surfing
2446,copper shark,surfing
2447,undef. shark,fishing
2448,white shark,fishing
2449,undef. shark,diving
2450,white shark,surfing
2451,undef. shark,surfing
2452,undef. shark,surfing
2453,undef. shark,surfing
2454,undef. shark,undef. act
2455,nurse shark,fishing
2456,white shark,surfing
2457,white shark,surfing
2458,white shark,diving
2459,undef. shark,undef. act
2460,undef. shark,swimming
2461,white shark,surfing
2462,white shark,undef. act
2463,undef. shark,surfing
2464,undef. shark,surfing
2465,white shark,surfing
2466,tiger shark,surfing
2467,undef. shark,fishing
2468,undef. shark,surfing
2469,white shark,diving
2470,white shark,surfing
2471,white shark,surfing
2472,hammerhead shark,sailing
2473,undef. shark,swimming
2474,undef. shark,swimming
2475,tiger shark,surfing
2476,undef. shark,diving
2477,undef. shark,fishing
2478,white shark,diving
2479,undef. shark,undef. act
2480,undef. shark,undef. act
2481,undef. shark,undef. act
2482,white shark,surfing
2483,undef. shark,surfing
2484,undef. shark,surfing
2485,undef. shark,surfing
2486,undef. shark,surfing
2487,undef. shark,surfing
2488,undef. shark,swimming
2489,undef. shark,surfing
2490,undef. shark,sailing
2491,bull shark,diving
2492,tiger shark,diving
2493,undef. shark,undef. act
2494,undef. shark,undef. act
2495,white shark,surfing
2496,undef. shark,diving
2497,reef shark,fishing
2498,reef shark,diving
2499,undef. shark,swimming
2500,undef. shark,sailing
2501,undef. shark,diving
2502,undef. shark,fishing
2503,white shark,fishing
2504,nurse shark,diving
2505,undef. shark,undef. act
2506,undef. shark,swimming
2507,undef. shark,surfing
2508,undef. shark,diving
2509,undef. shark,surfing
2510,undef. shark,surfing
2511,undef. shark,undef. act
2512,white shark,surfing
2513,undef. shark,swimming
2514,undef. shark,undef. act
2515,undef. shark,surfing
2516,undef. shark,surfing
2517,undef. shark,undef. act
2518,undef. shark,sailing
2519,undef. shark,surfing
2520,undef. shark,surfing
2521,undef. shark,surfing
2522,nurse shark,undef. act
2523,undef. shark,surfing
2524,undef. shark,undef. act
2525,mako shark,fishing
2526,tiger shark,diving
2527,undef. shark,surfing
2528,undef. shark,fishing
2529,mako shark,fishing
2530,copper shark,swimming
2531,undef. shark,undef. act
2532,undef. shark,surfing
2533,undef. shark,undef. act
2534,blacktip shark,surfing
2535,tiger shark,undef. act
2536,undef. shark,surfing
2537,undef. shark,undef. act
2538,undef. shark,surfing
2539,undef. shark,sailing
2540,white shark,fishing
2541,undef. shark,undef. act
2542,white shark,diving
2543,white shark,surfing
2544,undef. shark,swimming
2545,white shark,surfing
2546,undef. shark,surfing
2547,undef. shark,surfing
2548,undef. shark,swimming
2549,undef. shark,undef. act
2550,undef. shark,diving
2551,undef. shark,fishing
2552,blacktip shark,fishing
2553,undef. shark,undef. act
2554,undef. shark,surfing
2555,undef. shark,fishing
2556,undef. shark,fishing
2557,undef. shark,swimming
2558,undef. shark,swimming
2559,undef. shark,swimming
2560,copper shark,surfing
2561,white shark,undef. act
2562,undef. shark,surfing
2563,undef. shark,undef. act
2564,white shark,fishing
2565,undef. shark,swimming
2566,undef. shark,undef. act
2567,white shark,undef. act
2568,nurse shark,fishing
2569,white shark,sailing
2570,blacktip shark,surfing
2571,undef. shark,undef. act
2572,white shark,diving
2573,copper shark,fishing
2574,tiger shark,fishing
2575,undef. shark,surfing
2576,undef. shark,surfing
2577,undef. shark,surfing
2578,nurse shark,undef. act
2579,undef. shark,swimming
2580,undef. shark,undef. act
2581,undef. shark,undef. act
2582,bull shark,surfing
2583,blacktip shark,undef. act
2584,undef. shark,surfing
2585,undef. shark,surfing
2586,undef. shark,surfing
2587,white shark,fishing
2588,undef. shark,diving
2589,undef. shark,undef. act
2590,white shark,fishing
2591,undef. shark,undef. act
2592,undef. shark,fishing
2593,undef. shark,diving
2594,undef. shark,diving
2595,undef. shark,fishing
2596,undef. shark,diving
2597,white shark,surfing
2598,undef. shark,sailing
2599,undef. shark,surfing
2600,white shark,surfing
2601,undef. shark,surfing
2602,nurse shark,swimming
2603,nurse shark,fishing
2604,copper shark,surfing
2605,blacktip shark,surfing
2606,undef. shark,surfing
2607,undef. shark,surfing
2608,nurse shark,undef. act
2609,undef. shark,fishing
2610,white shark,undef. act
2611,undef. shark,fishing
2612,white shark,sailing
2613,undef. shark,diving
2614,tiger shark,sailing
2615,undef. shark,sailing
2616,undef. shark,fishing
2617,white shark,diving
2618,undef. shark,swimming
2619,undef. shark,diving
2620,undef. shark,swimming
2621,undef. shark,swimming
2622,undef. shark,swimming
2623,undef. shark,diving
2624,hammerhead shark,swimming
2625,undef. shark,surfing
2626,white shark,fishing
2627,tiger shark,surfing
2628,white shark,diving
2629,undef. shark,surfing
2630,undef. shark,fishing
2631,undef. shark,surfing
2632,white shark,diving
2633,white shark,diving
2634,undef. shark,surfing
2635,nurse shark,swimming
2636,undef. shark,undef. act
2637,white shark,surfing
2638,undef. shark,undef. act
2639,white shark,fishing
2640,tiger shark,fishing
2641,undef. shark,fishing
2642,undef. shark,undef. act
2643,bull shark,fishing
2644,white shark,undef. act
2645,tiger shark,sailing
2646,undef. shark,surfing
2647,undef. shark,fishing
2648,undef. shark,swimming
2649,undef. shark,surfing
2650,undef. shark,swimming
2651,blacktip shark,surfing
2652,white shark,surfing
2653,white shark,diving
2654,undef. shark,surfing
2655,undef. shark,swimming
2656,hammerhead shark,surfing
2657,undef. shark,swimming
2658,undef. shark,swimming
2659,white shark,diving
2660,white shark,fishing
2661,tiger shark,undef. act
2662,undef. shark,undef. act
2663,undef. shark,swimming
2664,undef. shark,swimming
2665,undef. shark,fishing
2666,undef. shark,undef. act
2667,nurse shark,fishing
2668,white shark,surfing
2669,hammerhead shark,undef. act
2670,undef. shark,swimming
2671,undef. shark,fishing
2672,undef. shark,undef. act
2673,undef. shark,surfing
2674,undef. shark,surfing
2675,undef. shark,undef. act
2676,nurse shark,fishing
2677,undef. shark,diving
2678,undef. shark,undef. act
2679,reef shark,fishing
2680,nurse shark,swimming
2681,undef. shark,undef. act
2682,undef. shark,undef. act
2683,undef. shark,surfing
2684,undef. shark,fishing
2685,undef. shark,surfing
2686,white shark,diving
2687,undef. shark,swimming
2688,nurse shark,swimming
2689,bull shark,undef. act
2690,undef. shark,undef. act
2691,tiger shark,surfing
2692,undef. shark,swimming
2693,undef. shark,surfing
2694,undef. shark,swimming
2695,undef. shark,sailing
2696,white shark,surfing
2697,white shark,fishing
2698,undef. shark,swimming
2699,nurse shark,diving
2700,bull shark,diving
2701,undef. shark,fishing
2702,tiger shark,swimming
2703,tiger shark,swimming
2704,tiger shark,undef. act
2705,undef. shark,surfing
2706,hammerhead shark,surfing
2707,undef. shark,fishing
2708,undef. shark,sailing
2709,undef. shark,swimming
2710,undef. shark,fishing
2711,undef. shark,surfing
2712,blacktip shark,undef. act
2713,white shark,diving
2714,reef shark,fishing
2715,undef. shark,surfing
2716,undef. shark,surfing
2717,undef. shark,surfing
2718,undef. shark,surfing
2719,nurse shark,fishing
2720,undef. shark,surfing
2721,undef. shark,undef. act
2722,undef. shark,fishing
2723,undef. shark,surfing
2724,undef. shark,surfing
2725,undef. shark,undef. act
2726,undef. shark,undef. act
2727,undef. shark,fishing
2728,undef. shark,undef. act
2729,undef. shark,surfing
2730,white shark,fishing
2731,undef. shark,swimming
2732,undef. shark,undef. act
2733,undef. shark,fishing
2734,undef. shark,undef. act
2735,undef. shark,surfing
2736,undef. shark,surfing
2737,white shark,surfing
2738,undef. shark,surfing
2739,white shark,diving
2740,white shark,diving
2741,tiger shark,undef. act
2742,undef. shark,undef. act
2743,undef. shark,surfing
2744,undef. shark,swimming
2745,undef. shark,surfing
2746,undef. shark,sailing
2747,white shark,undef. act
2748,white shark,sailing
2749,undef. shark,swimming
2750,undef. shark,swimming
2751,undef. shark,swimming
2752,undef. shark,undef. act
2753,white shark,surfing
2754,undef. shark,swimming
2755,undef. shark,fishing
2756,undef. shark,undef. act
2757,reef shark,undef. act
2758,tiger shark,undef. act
2759,undef. shark,surfing
2760,undef. shark,surfing
2761,undef. shark,fishing
2762,white shark,fishing
2763,undef. shark,surfing
2764,undef. shark,fishing
2765,undef. shark,swimming
2766,undef. shark,swimming
2767,undef. shark,swimming
2768,white shark,diving
2769,undef. shark,diving
2770,nurse shark,swimming
2771,white shark,undef. act
2772,white shark,fishing
2773,undef. shark,fishing
2774,white shark,surfing
2775,undef. shark,undef. act
2776,tiger shark,fishing
2777,undef. shark,fishing
2778,white shark,undef. act
2779,undef. shark,diving
2780,undef. shark,swimming
2781,undef. shark,surfing
2782,undef. shark,surfing
2783,undef. shark,surfing
2784,undef. shark,surfing
2785,undef. shark,surfing
2786,tiger shark,swimming
2787,undef. shark,surfing
2788,undef. shark,surfing
2789,undef. shark,surfing
2790,undef. shark,fishing
2791,undef. shark,fishing
2792,nurse shark,diving
2793,undef. shark,undef. act
2794,mako shark,diving
2795,undef. shark,swimming
2796,undef. shark,surfing
2797,undef. shark,fishing
2798,undef. shark,undef. act
2799,undef. shark,fishing
2800,undef. shark,undef. act
2801,undef. shark,diving
2802,white shark,diving
2803,nurse shark,surfing
2804,undef. shark,diving
2805,undef. shark,diving
2806,nurse shark,surfing
2807,undef. shark,undef. act
2808,undef. shark,undef. act
2809,tiger shark,surfing
2810,undef. shark,sailing
2811,undef. shark,surfing
2812,white shark,diving
2813,white shark,diving
2814,blacktip shark,swimming
2815,hammerhead shark,undef. act
2816,undef. shark,undef. act
2817,hammerhead shark,surfing
2818,undef. shark,fishing
2819,tiger shark,fishing
2820,tiger shark,swimming
2821,tiger shark,surfing
2822,undef. shark,diving
2823,undef. shark,undef. act
2824,undef. shark,undef. act
2825,white shark,fishing
2826,undef. shark,swimming
2827,undef. shark,swimming
2828,undef. shark,swimming
2829,white shark,surfing
2830,white shark,surfing
2831,undef. shark,diving
2832,undef. shark,swimming
2833,tiger shark,undef. act
2834,undef. shark,diving
2835,undef. shark,surfing
2836,undef. shark,sailing
2837,undef. shark,surfing
2838,undef. shark,surfing
2839,undef. shark,diving
2840,undef. shark,surfing
2841,undef. shark,fishing
2842,undef. shark,sailing
2843,tiger shark,surfing
2844,tiger shark,diving
2845,undef. shark,swimming
2846,undef. shark,sailing
2847,hammerhead shark,fishing
2848,white shark,sailing
2849,undef. shark,fishing
2850,bull shark,fishing
2851,hammerhead shark,swimming
2852,nurse shark,swimming
2853,white shark,diving
2854,undef. shark,undef. act
2855,white shark,surfing
2856,undef. shark,fishing
2857,undef. shark,fishing
2858,undef. shark,swimming
2859,white shark,fishing
2860,undef. shark,diving
2861,white shark,surfing
2862,white shark,fishing
2863,nurse shark,fishing
2864,undef. shark,diving
2865,undef. shark,swimming
2866,undef. shark,undef. act
2867,undef. shark,surfing
2868,undef. shark,undef. act
2869,undef. shark,sailing
2870,undef. shark,diving
2871,white shark,fishing
2872,undef. shark,diving
2873,undef. shark,fishing
2874,undef. shark,undef. act
2875,undef. shark,swimming
2876,undef. shark,surfing
2877,undef. shark,surfing
2878,white shark,diving
2879,undef. shark,undef. act
2880,undef. shark,fishing
2881,undef. shark,surfing
2882,undef. shark,fishing
2883,undef. shark,undef. act
2884,white shark,fishing
2885,undef. shark,surfing
2886,undef. shark,surfing
2887,tiger shark,fishing
2888,white shark,fishing
2889,white shark,diving
2890,undef. shark,diving
2891,undef. shark,swimming
2892,undef. shark,sailing
2893,undef. shark,undef. act
2894,undef. shark,fishing
2895,undef. shark,surfing
2896,undef. shark,surfing
2897,white shark,undef. act
2898,undef. shark,diving
2899,undef. shark,diving
2900,undef. shark,diving
2901,undef. shark,undef. act
2902,undef. shark,fishing
2903,white shark,diving
2904,blacktip shark,surfing
2905,tiger shark,undef. act
2906,undef. shark,surfing
2907,undef. shark,swimming
2908,undef. shark,swimming
2909,undef. shark,surfing
2910,tiger shark,surfing
2911,white shark,fishing
2912,undef. shark,sailing
2913,white shark,fishing
2914,white shark,surfing
2915,undef. shark,sailing
2916,white shark,fishing
2917,white shark,diving
2918,undef. shark,swimming
2919,undef. shark,fishing
2920,bull shark,fishing
2921,bull shark,fishing
2922,mako shark,fishing
2923,undef. shark,undef. act
2924,undef. shark,undef. act
2925,undef. shark,swimming
2926,undef. shark,swimming
2927,undef. shark,undef. act
2928,undef. shark,undef. act
2929,undef. shark,undef. act
2930,undef. shark,undef. act
2931,undef. shark,undef. act
2932,undef. shark,undef. act
2933,undef. shark,swimming
2934,undef. shark,undef. act
2935,white shark,diving
2936,white shark,undef. act
2937,undef. shark,undef. act
2938,undef. shark,surfing
2939,undef. shark,swimming
2940,white shark,fishing
2941,white shark,undef. act
2942,white shark,surfing
2943,white shark,surfing
2944,undef. shark,undef. act
2945,undef. shark,diving
2946,undef. shark,undef. act
2947,undef. shark,swimming
2948,undef. shark,swimming
2949,tiger shark,surfing
2950,undef. shark,surfing
2951,white shark,surfing
2952,undef. shark,fishing
2953,undef. shark,surfing
2954,undef. shark,diving
2955,undef. shark,fishing
2956,undef. shark,diving
2957,undef. shark,swimming
2958,undef. shark,fishing
2959,undef. shark,surfing
2960,mako shark,undef. act
2961,undef. shark,undef. act
2962,undef. shark,sailing
2963,undef. shark,fishing
2964,white shark,undef. act
2965,white shark,undef. act
2966,white shark,undef. act
2967,undef. shark,fishing
2968,undef. shark,undef. act
2969,white shark,fishing
2970,undef. shark,fishing
2971,copper shark,fishing
2972,undef. shark,diving
2973,undef. shark,swimming
2974,white shark,diving
2975,nurse shark,diving
2976,undef. shark,sailing
2977,undef. shark,sailing
2978,undef. shark,undef. act
2979,undef. shark,surfing
2980,undef. shark,fishing
2981,undef. shark,surfing
2982,undef. shark,surfing
2983,undef. shark,undef. act
2984,white shark,surfing
2985,undef. shark,sailing
2986,white shark,diving
2987,undef. shark,swimming
2988,undef. shark,undef. act
2989,white shark,diving
2990,undef. shark,diving
2991,undef. shark,surfing
2992,white shark,diving
2993,white shark,diving
2994,undef. shark,swimming
2995,copper shark,fishing
2996,undef. shark,surfing
2997,undef. shark,swimming
2998,undef. shark,sailing
2999,undef. shark,swimming
3000,undef. shark,surfing
3001,undef. shark,undef. act
3002,undef. shark,surfing
3003,undef. shark,swimming
3004,undef. shark,diving
3005,undef. shark,undef. act
3006,white shark,fishing
3007,white shark,swimming
3008,undef. shark,undef. act
3009,undef. shark,sailing
3010,copper shark,diving
3011,undef. shark,swimming
3012,undef. shark,undef. act
3013,undef. shark,surfing
3014,mako shark,undef. act
3015,white shark,swimming
3016,undef. shark,undef. act
3017,undef. shark,undef. act
3018,copper shark,fishing
3019,undef. shark,surfing
3020,undef. shark,fishing
3021,undef. shark,undef. act
3022,undef. shark,undef. act
3023,undef. shark,sailing
3024,white shark,surfing
3025,white shark,diving
3026,mako shark,swimming
3027,white shark,diving
3028,white shark,diving
3029,undef. shark,fishing
3030,white shark,surfing
3031,undef. shark,swimming
3032,undef. shark,swimming
3033,undef. shark,swimming
3034,undef. shark,swimming
3035,white shark,undef. act
3036,white shark,surfing
3037,white shark,diving
3038,undef. shark,swimming
3039,undef. shark,sailing
3040,undef. shark,swimming
3041,white shark,diving
3042,undef. shark,fishing
3043,nurse shark,fishing
3044,undef. shark,sailing
3045,undef. shark,swimming
3046,undef. shark,surfing
3047,undef. shark,surfing
3048,white shark,fishing
3049,undef. shark,swimming
3050,undef. shark,swimming
3051,white shark,fishing
3052,white shark,fishing
3053,nurse shark,surfing
3054,white shark,diving
3055,undef. shark,swimming
3056,undef. shark,swimming
3057,undef. shark,swimming
3058,copper shark,fishing
3059,undef. shark,undef. act
3060,undef. shark,fishing
3061,undef. shark,swimming
3062,undef. shark,swimming
3063,undef. shark,swimming
3064,undef. shark,swimming
3065,undef. shark,undef. act
3066,undef. shark,surfing
3067,undef. shark,undef. act
3068,undef. shark,undef. act
3069,bull shark,diving
3070,undef. shark,swimming
3071,white shark,diving
3072,tiger shark,undef. act
3073,undef. shark,undef. act
3074,undef. shark,surfing
3075,blacktip shark,undef. act
3076,undef. shark,swimming
3077,undef. shark,swimming
3078,undef. shark,undef. act
3079,undef. shark,fishing
3080,blacktip shark,fishing
3081,undef. shark,swimming
3082,undef. shark,fishing
3083,undef. shark,surfing
3084,tiger shark,diving
3085,reef shark,diving
3086,undef. shark,surfing
3087,undef. shark,sailing
3088,undef. shark,swimming
3089,undef. shark,surfing
3090,white shark,swimming
3091,undef. shark,undef. act
3092,undef. shark,undef. act
3093,undef. shark,fishing
3094,undef. shark,fishing
3095,copper shark,surfing
3096,copper shark,diving
3097,undef. shark,surfing
3098,undef. shark,swimming
3099,white shark,surfing
3100,undef. shark,swimming
3101,undef. shark,surfing
3102,undef. shark,fishing
3103,white shark,diving
3104,undef. shark,diving
3105,undef. shark,undef. act
3106,undef. shark,undef. act
3107,undef. shark,surfing
3108,white shark,diving
3109,reef shark,fishing
3110,tiger shark,swimming
3111,undef. shark,undef. act
3112,undef. shark,swimming
3113,undef. shark,fishing
3114,undef. shark,fishing
3115,undef. shark,surfing
3116,undef. shark,undef. act
3117,undef. shark,swimming
3118,bull shark,surfing
3119,white shark,sailing
3120,white shark,swimming
3121,reef shark,diving
3122,undef. shark,undef. act
3123,white shark,swimming
3124,undef. shark,undef. act
3125,undef. shark,swimming
3126,undef. shark,undef. act
3127,undef. shark,surfing
3128,undef. shark,swimming
3129,white shark,diving
3130,undef. shark,surfing
3131,white shark,swimming
3132,undef. shark,fishing
3133,nurse shark,diving
3134,undef. shark,swimming
3135,white shark,diving
3136,white shark,surfing
3137,undef. shark,diving
3138,undef. shark,swimming
3139,white shark,swimming
3140,undef. shark,surfing
3141,undef. shark,undef. act
3142,undef. shark,undef. act
3143,undef. shark,undef. act
3144,white shark,surfing
3145,undef. shark,swimming
3146,white shark,surfing
3147,undef. shark,undef. act
3148,undef. shark,undef. act
3149,undef. shark,fishing
3150,undef. shark,fishing
3151,undef. shark,fishing
3152,undef. shark,undef. act
3153,undef. shark,undef. act
3154,undef. shark,surfing
3155,undef. shark,surfing
3156,undef. shark,diving
3157,undef. shark,fishing
3158,undef. shark,sailing
3159,undef. shark,undef. act
3160,undef. shark,swimming
3161,undef. shark,diving
3162,undef. shark,sailing
3163,mako shark,undef. act
3164,undef. shark,fishing
3165,nurse shark,diving
3166,undef. shark,swimming
3167,undef. shark,swimming
3168,undef. shark,undef. act
3169,undef. shark,swimming
3170,undef. shark,diving
3171,undef. shark,swimming
3172,undef. shark,surfing
3173,undef. shark,swimming
3174,undef. shark,swimming
3175,undef. shark,swimming
3176,bull shark,swimming
3177,bull shark,swimming
3178,bull shark,swimming
3179,undef. shark,undef. act
3180,undef. shark,swimming
3181,undef. shark,undef. act
3182,undef. shark,diving
3183,undef. shark,fishing
3184,undef. shark,fishing
3185,white shark,fishing
3186,white shark,fishing
3187,undef. shark,undef. act
3188,undef. shark,undef. act
3189,undef. shark,swimming
3190,undef. shark,fishing
3191,undef. shark,swimming
3192,undef. shark,diving
3193,undef. shark,undef. act
3194,copper shark,diving
3195,white shark,diving
3196,undef. shark,sailing
3197,undef. shark,fishing
3198,undef. shark,surfing
3199,undef. shark,surfing
3200,undef. shark,undef. act
3201,undef. shark,undef. act
3202,nurse shark,undef. act
3203,white shark,diving
3204,undef. shark,swimming
3205,undef. shark,diving
3206,undef. shark,swimming
3207,undef. shark,fishing
3208,nurse shark,diving
3209,undef. shark,surfing
3210,undef. shark,undef. act
3211,undef. shark,fishing
3212,undef. shark,fishing
3213,mako shark,undef. act
3214,white shark,surfing
3215,undef. shark,fishing
3216,undef. shark,diving
3217,undef. shark,diving
3218,undef. shark,undef. act
3219,undef. shark,undef. act
3220,undef. shark,diving
3221,nurse shark,undef. act
3222,white shark,surfing
3223,white shark,undef. act
3224,hammerhead shark,fishing
3225,undef. shark,undef. act
3226,undef. shark,fishing
3227,undef. shark,undef. act
3228,undef. shark,undef. act
3229,bull shark,fishing
3230,undef. shark,sailing
3231,undef. shark,surfing
3232,white shark,fishing
3233,hammerhead shark,surfing
3234,undef. shark,sailing
3235,undef. shark,swimming
3236,undef. shark,undef. act
3237,undef. shark,fishing
3238,white shark,diving
3239,undef. shark,swimming
3240,undef. shark,fishing
3241,undef. shark,swimming
3242,undef. shark,undef. act
3243,reef shark,fishing
3244,undef. shark,undef. act
3245,undef. shark,undef. act
3246,undef. shark,undef. act
3247,undef. shark,sailing
3248,undef. shark,swimming
3249,undef. shark,undef. act
3250,copper shark,diving
3251,undef. shark,swimming
3252,undef. shark,undef. act
3253,undef. shark,swimming
3254,undef. shark,surfing
3255,undef. shark,sailing
3256,bull shark,surfing
3257,undef. shark,swimming
3258,undef. shark,undef. act
3259,copper shark,fishing
3260,undef. shark,undef. act
3261,undef. shark,diving
3262,undef. shark,swimming
3263,undef. shark,swimming
3264,nurse shark,diving
3265,undef. shark,surfing
3266,undef. shark,surfing
3267,mako shark,fishing
3268,undef. shark,undef. act
3269,undef. shark,swimming
3270,undef. shark,undef. act
3271,nurse shark,diving
3272,nurse shark,undef. act
3273,undef. shark,diving
3274,undef. shark,sailing
3275,undef. shark,undef. act
3276,undef. shark,swimming
3277,blacktip shark,sailing
3278,undef. shark,swimming
3279,undef. shark,undef. act
3280,undef. shark,diving
3281,undef. shark,diving
3282,undef. shark,fishing
3283,undef. shark,fishing
3284,undef. shark,fishing
3285,undef. shark,undef. act
3286,undef. shark,undef. act
3287,undef. shark,fishing
3288,white shark,fishing
3289,undef. shark,sailing
3290,undef. shark,undef. act
3291,undef. shark,diving
3292,nurse shark,fishing
3293,undef. shark,undef. act
3294,undef. shark,fishing
3295,undef. shark,diving
3296,undef. shark,fishing
3297,undef. shark,surfing
3298,nurse shark,fishing
3299,white shark,fishing
3300,copper shark,undef. act
3301,nurse shark,undef. act
3302,undef. shark,fishing
3303,undef. shark,diving
3304,white shark,fishing
3305,nurse shark,fishing
3306,undef. shark,undef. act
3307,white shark,swimming
3308,undef. shark,undef. act
3309,undef. shark,swimming
3310,white shark,fishing
3311,nurse shark,fishing
3312,undef. shark,swimming
3313,undef. shark,swimming
3314,undef. shark,fishing
3315,nurse shark,fishing
3316,nurse shark,fishing
3317,undef. shark,swimming
3318,undef. shark,fishing
3319,undef. shark,undef. act
3320,undef. shark,swimming
3321,undef. shark,swimming
3322,undef. shark,swimming
3323,copper shark,diving
3324,undef. shark,fishing
3325,undef. shark,fishing
3326,undef. shark,fishing
3327,mako shark,fishing
3328,nurse shark,undef. act
3329,undef. shark,diving
3330,undef. shark,undef. act
3331,undef. shark,fishing
3332,undef. shark,diving
3333,undef. shark,swimming
3334,undef. shark,diving
3335,white shark,swimming
3336,undef. shark,diving
3337,undef. shark,undef. act
3338,undef. shark,fishing
3339,blacktip shark,swimming
3340,undef. shark,diving
3341,undef. shark,undef. act
3342,undef. shark,fishing
3343,undef. shark,swimming
3344,undef. shark,swimming
3345,undef. shark,diving
3346,undef. shark,undef. act
3347,undef. shark,undef. act
3348,hammerhead shark,fishing
3349,undef. shark,swimming
3350,undef. shark,fishing
3351,undef. shark,sailing
3352,undef. shark,fishing
3353,white shark,undef. act
3354,undef. shark,fishing
3355,undef. shark,undef. act
3356,undef. shark,swimming
3357,undef. shark,undef. act
3358,white shark,fishing
3359,undef. shark,undef. act
3360,white shark,sailing
3361,copper shark,undef. act
3362,undef. shark,undef. act
3363,white shark,diving
3364,undef. shark,fishing
3365,undef. shark,undef. act
3366,bull shark,sailing
3367,undef. shark,undef. act
3368,undef. shark,surfing
3369,undef. shark,surfing
3370,hammerhead shark,swimming
3371,undef. shark,sailing
3372,undef. shark,fishing
3373,reef shark,diving
3374,undef. shark,fishing
3375,undef. shark,fishing
3376,undef. shark,undef. act
3377,undef. shark,undef. act
3378,nurse shark,surfing
3379,undef. shark,undef. act
3380,undef. shark,undef. act
