,Shark_sp,Deadly_act,Genre
856,undef. shark,sailing,F
857,undef. shark,surfing,M
858,undef. shark,surfing,M
859,undef. shark,swimming,F
860,undef. shark,diving,M
861,bull shark,diving,M
862,undef. shark,surfing,M
863,undef. shark,fishing,M
864,bull shark,swimming,M
865,undef. shark,undef. act,M
866,undef. shark,fishing,M
867,undef. shark,undef. act,M
868,undef. shark,swimming,M
869,undef. shark,swimming,M
870,undef. shark,swimming,M
871,undef. shark,fishing,M
872,undef. shark,surfing,M
873,white shark,surfing,M
874,white shark,swimming,F
875,white shark,sailing,M
876,undef. shark,swimming,M
877,tiger shark,surfing,M
878,bull shark,fishing,M
879,bull shark,fishing,M
880,undef. shark,surfing,M
881,undef. shark,swimming,F
882,undef. shark,undef. act,M
883,undef. shark,swimming,F
884,undef. shark,swimming,F
885,undef. shark,swimming,F
886,undef. shark,swimming,F
887,undef. shark,swimming,M
889,undef. shark,surfing,M
890,undef. shark,surfing,M
891,undef. shark,sailing,F
893,undef. shark,surfing,M
894,undef. shark,surfing,M
895,undef. shark,undef. act,M
896,white shark,fishing,M
900,undef. shark,fishing,M
901,undef. shark,swimming,M
902,undef. shark,surfing,M
903,undef. shark,surfing,M
904,undef. shark,surfing,M
906,undef. shark,fishing,M
907,undef. shark,undef. act,F
908,undef. shark,surfing,M
909,undef. shark,surfing,M
910,undef. shark,swimming,M
911,undef. shark,surfing,M
912,undef. shark,surfing,M
913,undef. shark,surfing,M
914,undef. shark,fishing,M
915,undef. shark,swimming,M
916,white shark,fishing,M
917,undef. shark,swimming,M
919,undef. shark,surfing,M
921,undef. shark,surfing,M
922,undef. shark,surfing,F
923,undef. shark,surfing,F
925,undef. shark,swimming,M
926,undef. shark,swimming,M
927,undef. shark,surfing,M
928,undef. shark,fishing,M
929,undef. shark,fishing,M
930,undef. shark,surfing,M
931,undef. shark,fishing,M
932,undef. shark,surfing,M
933,white shark,surfing,M
934,bull shark,diving,M
935,undef. shark,undef. act,M
936,white shark,surfing,M
937,undef. shark,surfing,M
938,undef. shark,fishing,M
939,undef. shark,undef. act,M
940,bull shark,fishing,M
941,undef. shark,fishing,M
942,undef. shark,swimming,M
943,tiger shark,swimming,M
944,undef. shark,swimming,M
945,white shark,fishing,M
946,undef. shark,surfing,M
947,undef. shark,undef. act,M
948,undef. shark,diving,M
949,white shark,surfing,F
950,white shark,surfing,M
952,undef. shark,surfing,M
953,undef. shark,swimming,M
954,bull shark,fishing,M
955,undef. shark,undef. act,M
956,undef. shark,undef. act,M
957,undef. shark,sailing,M
958,white shark,surfing,M
959,white shark,diving,M
960,white shark,surfing,M
963,white shark,fishing,M
964,bull shark,fishing,M
966,undef. shark,sailing,M
967,undef. shark,undef. act,F
969,undef. shark,fishing,M
970,undef. shark,fishing,M
972,undef. shark,fishing,M
974,undef. shark,surfing,M
975,undef. shark,fishing,M
976,white shark,fishing,M
977,undef. shark,surfing,M
978,undef. shark,surfing,M
980,undef. shark,swimming,M
981,tiger shark,surfing,M
982,white shark,surfing,M
983,undef. shark,surfing,M
984,undef. shark,surfing,M
985,undef. shark,surfing,M
986,undef. shark,surfing,M
987,undef. shark,surfing,M
988,undef. shark,surfing,M
989,undef. shark,swimming,M
990,undef. shark,fishing,M
991,undef. shark,surfing,M
992,undef. shark,surfing,M
993,undef. shark,swimming,M
994,undef. shark,surfing,F
995,undef. shark,swimming,M
996,undef. shark,undef. act,M
997,bull shark,sailing,F
998,undef. shark,swimming,F
999,tiger shark,diving,M
1000,white shark,surfing,M
1001,white shark,undef. act,M
1002,undef. shark,swimming,M
1003,undef. shark,swimming,M
1005,undef. shark,surfing,M
1006,undef. shark,diving,F
1007,undef. shark,swimming,M
1008,undef. shark,swimming,F
1009,undef. shark,surfing,M
1010,undef. shark,swimming,M
1012,undef. shark,surfing,M
1013,undef. shark,surfing,M
1014,undef. shark,swimming,F
1015,undef. shark,undef. act,F
1016,undef. shark,surfing,M
1017,undef. shark,swimming,M
1018,bull shark,fishing,M
1019,white shark,surfing,M
1020,white shark,fishing,M
1021,undef. shark,surfing,M
1022,undef. shark,swimming,M
1023,undef. shark,surfing,M
1024,white shark,surfing,F
1025,undef. shark,swimming,F
1026,undef. shark,surfing,M
1027,undef. shark,surfing,M
1028,undef. shark,fishing,M
1029,undef. shark,surfing,F
1030,bull shark,swimming,M
1031,undef. shark,surfing,M
1032,tiger shark,undef. act,M
